상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,마트브랜드
MA010120220811462463,롯데리아,감만점,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,26,부산광역시,26290,남구,26290630,감만2동,2629011100,감만동,2629011100100080000,1,대지,8,,부산광역시 남구 감만동 8,262903131026,부산광역시 남구 우암로,124,,2629011100100080000026913,홈플러스내,부산광역시 남구 우암로 124,608800,48542,,,,129.082211284417,35.1215441675641,홈플러스
MA010120220803021192,유일약국,,G2,소매,G215,의약·화장품 소매,G21501,약국,G47811,의약품 및 의료용품 소매업,26,부산광역시,26530,사상구,26530620,괘법동,2653010400,괘법동,2653010400105290001,1,대지,529,1,부산광역시 사상구 괘법동 529-1,265303139003,부산광역시 사상구 광장로,7,,2653010400105290001008082,홈플러스,부산광역시 사상구 광장로 7,617725,46970,,1,,128.977721218153,35.1643345532276,홈플러스
MA010120220810820566,미래앤씨,,G2,소매,G215,의약·화장품 소매,G21503,화장품 소매업,G47813,화장품; 비누 및 방향제 소매업,26,부산광역시,26350,해운대구,26350520,우2동,2635010500,우동,2635010500114990000,1,대지,1499,,부산광역시 해운대구 우동 1499,263503133018,부산광역시 해운대구 센텀동로,6,,2635010500114490000023277,홈플러스센템시티점,부산광역시 해운대구 센텀동로 6,612022,48059,,,,129.133689814354,35.1709146307276,홈플러스
MA010120220812511888,폴햄,,G2,소매,G209,섬유·의복·신발 소매,G20902,여성 의류 소매업,G47412,여자용 겉옷 소매업,26,부산광역시,26470,연제구,26470650,연산1동,2647010200,연산동,2647010200101050001,1,대지,105,1,부산광역시 연제구 연산동 105-1,264703130026,부산광역시 연제구 반송로,88,,2647010200101050001000001,홈플러스부산연산점,부산광역시 연제구 반송로 88,611811,47552,,1,,129.089338601254,35.1909637286266,홈플러스
MA010120220805832608,오스틴리드홈플러스,연산점,G2,소매,G209,섬유·의복·신발 소매,G20901,남성 의류 소매업,G47411,남자용 겉옷 소매업,26,부산광역시,26470,연제구,26470650,연산1동,2647010200,연산동,2647010200101050001,1,대지,105,1,부산광역시 연제구 연산동 105-1,264703130026,부산광역시 연제구 반송로,88,,2647010200101050001000001,홈플러스연산점,부산광역시 연제구 반송로 88,611811,47552,,1,,129.089338601254,35.1909637286266,홈플러스
MA010120220811401062,메가마트제인스딘,동래점,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47413,속옷 및 잠옷 소매업,26,부산광역시,26260,동래구,26260545,명륜동,2626010700,명륜동,2626010700105060003,1,대지,506,3,부산광역시 동래구 명륜동 506-3,262602006006,부산광역시 동래구 충렬대로,197,,2626010700105060003000040,메가마트,부산광역시 동래구 충렬대로 197,607804,47737,,,,129.081133844024,35.2045502617048,메가마트
MA010120220810771286,누네트안경,,G2,소매,G216,안경·정밀기기 소매,G21602,안경렌즈 소매업,G47822,안경 및 렌즈 소매업,26,부산광역시,26470,연제구,26470660,연산2동,2647010200,연산동,2647010200108220007,1,대지,822,7,부산광역시 연제구 연산동 822-7,264703129044,부산광역시 연제구 연수로,89,,2647010200108220007015826,이마트,부산광역시 연제구 연수로 89,611840,47604,,1,,129.081309508809,35.1761518847322,이마트
MA010120220811423469,쌤소ATSIS이마트금정,,G2,소매,G209,섬유·의복·신발 소매,G20911,가방 소매업,G47440,가방 및 기타 가죽제품 소매업,26,부산광역시,26410,금정구,26410680,구서1동,2641010700,구서동,2641010700103680000,1,대지,368,,부산광역시 금정구 구서동 368,264104205400,부산광역시 금정구 중앙대로1841번길,24,,2641010700103680000007216,이마트,부산광역시 금정구 중앙대로1841번길 24,609847,46233,,1,,129.090598612225,35.2499401418204,이마트
MA010120220811461454,메가마트주,문현점,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47121,슈퍼마켓,26,부산광역시,26290,남구,26290700,문현3동,2629010900,문현동,2629010900102050002,1,대지,205,2,부산광역시 남구 문현동 205-2,262904193160,부산광역시 남구 수영로39번길,2,5,2629010900102050002015906,,부산광역시 남구 수영로39번길 2-5,608823,48420,,,,129.072834986202,35.1376104765052,메가마트
MA010120220808815100,아이더동래메가마트점,,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47419,기타 의복 소매업,26,부산광역시,26260,동래구,26260545,명륜동,2626010700,명륜동,2626010700105060003,1,대지,506,3,부산광역시 동래구 명륜동 506-3,262602006006,부산광역시 동래구 충렬대로,197,,2626010700105060003000040,메가마트,부산광역시 동래구 충렬대로 197,607804,47737,,2,,129.081133844024,35.2045502617048,메가마트
MA010120220803703541,이마트원스탑주얼리,금정점,G2,소매,G217,시계·귀금속 소매,G21701,시계/귀금속 소매업,G47830,시계 및 귀금속 소매업,26,부산광역시,26410,금정구,26410680,구서1동,2641010700,구서동,2641010700103680000,1,대지,368,,부산광역시 금정구 구서동 368,264104205400,부산광역시 금정구 중앙대로1841번길,24,,2641010700103680000007216,이마트,부산광역시 금정구 중앙대로1841번길 24,609847,46233,,,,129.090598612225,35.2499401418204,이마트
MA010120220814076194,amia에스테틱,,S2,수리·개인,S207,이용·미용,S20702,피부 관리실,S96113,피부 미용업,26,부산광역시,26350,해운대구,26350530,중1동,2635010600,중동,2635010600117670000,1,대지,1767,,부산광역시 해운대구 중동 1767,263503133039,부산광역시 해운대구 좌동순환로,511,,2635010600117670000019106,이마트,부산광역시 해운대구 좌동순환로 511,612851,48096,,3,,129.167372481097,35.1660179546642,이마트
MA010120220811425696,아이피아,감만점,G2,소매,G216,안경·정밀기기 소매,G21602,안경렌즈 소매업,G47822,안경 및 렌즈 소매업,26,부산광역시,26290,남구,26290630,감만2동,2629011100,감만동,2629011100100080000,1,대지,8,,부산광역시 남구 감만동 8,262903131026,부산광역시 남구 우암로,124,,2629011100100080000026913,홈플러스,부산광역시 남구 우암로 124,608800,48542,,2,,129.082211284417,35.1215441675641,홈플러스
MA010120220805023581,뉴욕버거사상점,,I2,음식,I210,기타 간이,I21004,버거,I56192,피자; 햄버거; 샌드위치 및 유사 음식점업,26,부산광역시,26530,사상구,26530620,괘법동,2653010400,괘법동,2653010400105310002,1,대지,531,2,부산광역시 사상구 괘법동 531-2,265303139003,부산광역시 사상구 광장로,17,,2653010400105310002005013,이마트,부산광역시 사상구 광장로 17,617808,46970,,2,,128.978893016647,35.1642343045877,이마트
MA010120220810683375,예작스튜디오,,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,26,부산광역시,26710,기장군,26710256,정관읍,2671025622,정관읍,2671025622107120001,1,대지,712,1,부산광역시 기장군 정관읍 매학리 712-1,267103140043,부산광역시 기장군 정관읍 정관5로,50,,2671032022107120001000001,홈플러스부산정관점내,부산광역시 기장군 정관읍 정관5로 50,619963,46015,,1,,129.176383817166,35.3230491085662,홈플러스
