상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,백화점브랜드
MA010120220804863016,코오롱스포츠조정현,,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47419,기타 의복 소매업,26,부산광역시,26170,동구,26170660,범일2동,2617010400,범일동,2617010400100620005,1,대지,62,5,부산광역시 동구 범일동 62-5,261703127051,부산광역시 동구 범일로,125,,2617010400100620005005551,현대백화점,부산광역시 동구 범일로 125,601718,48735,,6,,129.058567919742,35.1413052322577,현대백화점
MA010120220814022964,분크,,G2,소매,G209,섬유·의복·신발 소매,G20911,가방 소매업,G47440,가방 및 기타 가죽제품 소매업,26,부산광역시,26230,부산진구,26230520,부전2동,2623010300,부전동,2623010300105030015,1,대지,503,15,부산광역시 부산진구 부전동 503-15,262302006015,부산광역시 부산진구 가야대로,772,,2623010300105030015004104,롯데백화점,부산광역시 부산진구 가야대로 772,614732,47285,,1,,129.056412549351,35.1567968046828,롯데백화점
MA010120220803005390,신세계푸드다이아몬드라운지,,I2,음식,I207,구내식당·뷔페,I20701,구내식당,I56111,한식 일반 음식점업,26,부산광역시,26350,해운대구,26350520,우2동,2635010500,우동,2635010500114950000,1,대지,1495,,부산광역시 해운대구 우동 1495,263502133001,부산광역시 해운대구 센텀남대로,35,,2635010500114950000000001,신세계백화점,부산광역시 해운대구 센텀남대로 35,612022,48058,,2,,129.129519598026,35.1688162817484,신세계백화점
MA010120220809604930,인디고뱅크키즈,,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47419,기타 의복 소매업,26,부산광역시,26350,해운대구,26350551,좌1동,2635010700,좌동,2635010700114670004,1,대지,1467,4,부산광역시 해운대구 좌동 1467-4,263502006010,부산광역시 해운대구 해운대로,813,,2635010700114670004003745,C백화점,부산광역시 해운대구 해운대로 813,612836,48106,,6,,129.177051032177,35.1705302447392,NC백화점
MA010120220802514675,미소정육,백화점,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,26,부산광역시,26380,사하구,26380580,장림1동,2638010500,장림동,2638010500103250086,1,대지,325,86,부산광역시 사하구 장림동 325-86,263803134023,부산광역시 사하구 장림번영로,47,,2638010500103250086001353,,부산광역시 사하구 장림번영로 47,604843,49475,,1,,128.970385492335,35.0808062738982,기타/미상
MA010120220810628951,수림,,G2,소매,G205,식료품 소매,G20509,반찬/식료품 소매업,G47219,기타 식료품 소매업,26,부산광역시,26230,부산진구,26230520,부전2동,2623010300,부전동,2623010300105030015,1,대지,503,15,부산광역시 부산진구 부전동 503-15,262302006015,부산광역시 부산진구 가야대로,772,,2623010300105030015004104,롯데백화점,부산광역시 부산진구 가야대로 772,614732,47285,,1,,129.056412549351,35.1567968046828,롯데백화점
MA010120220808464934,신세계센텀SW,,G2,소매,G209,섬유·의복·신발 소매,G20901,남성 의류 소매업,G47411,남자용 겉옷 소매업,26,부산광역시,26350,해운대구,26350520,우2동,2635010500,우동,2635010500114950000,1,대지,1495,,부산광역시 해운대구 우동 1495,263502133001,부산광역시 해운대구 센텀남대로,35,,2635010500114950000000001,신세계백화점,부산광역시 해운대구 센텀남대로 35,612022,48058,,5,,129.129519598026,35.1688162817484,신세계백화점
MA010120220810606208,KJ유통,,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47419,기타 의복 소매업,26,부산광역시,26230,부산진구,26230520,부전2동,2623010300,부전동,2623010300105030015,1,대지,503,15,부산광역시 부산진구 부전동 503-15,262302006015,부산광역시 부산진구 가야대로,772,,2623010300105030015004104,롯데백화점,부산광역시 부산진구 가야대로 772,614732,47285,,,,129.056412549351,35.1567968046828,롯데백화점
MA010120220803012077,미즈노롯데센텀시티,백화점,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47419,기타 의복 소매업,26,부산광역시,26350,해운대구,26350520,우2동,2635010500,우동,2635010500114960000,1,대지,1496,,부산광역시 해운대구 우동 1496,263502133001,부산광역시 해운대구 센텀남대로,59,,2635010500114960000000001,롯데백화점,부산광역시 해운대구 센텀남대로 59,612022,48058,,5,,129.131072074388,35.1698523216207,롯데백화점
MA010120220809709446,골든구스디럭스브랜드롯데부산,,G2,소매,G209,섬유·의복·신발 소매,G20910,신발 소매업,G47430,신발 소매업,26,부산광역시,26230,부산진구,26230520,부전2동,2623010300,부전동,2623010300105030015,1,대지,503,15,부산광역시 부산진구 부전동 503-15,262302006015,부산광역시 부산진구 가야대로,772,,2623010300105030015004104,롯데백화점,부산광역시 부산진구 가야대로 772,614732,47285,,1,,129.056412549351,35.1567968046828,롯데백화점
