상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220804928531,바이탈휘트니스,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26290,남구,26290710,문현4동,2629010900,문현동,2629010900103660018,1,대지,366,18,부산광역시 남구 문현동 366-18,262903131037,부산광역시 남구 수영로,12,,2629010900103660018026603,세종그랑시아,부산광역시 남구 수영로 12,608856,48456,,1,,129.069124136873,35.1361960115187
MA010120220814288813,리본휘트니스,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26500,수영구,26500660,남천1동,2650010500,남천동,2650010500103230000,1,대지,323,,부산광역시 수영구 남천동 323,265004214384,부산광역시 수영구 황령대로473번길,15,,2650010500103230000000001,남천엑슬루타워,부산광역시 수영구 황령대로473번길 15,613816,48312,,1,,129.106485684064,35.1399316972973
MA010120220810531922,리핏1:1바디스쿨,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26380,사하구,26380601,다대1동,2638010600,다대동,2638010600109100000,1,대지,910,,부산광역시 사하구 다대동 910,263803134007,부산광역시 사하구 다대로,547,,2638010600109100000019715,,부산광역시 사하구 다대로 547,604825,49524,,7,,128.971389511927,35.0573770233348
MA010120220811945087,윤기봉헬스아카데미,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26290,남구,26290560,대연6동,2629010600,대연동,2629010600117670017,1,대지,1767,17,부산광역시 남구 대연동 1767-17,262903131037,부산광역시 남구 수영로,163,,2629010600117670017032196,,부산광역시 남구 수영로 163,608817,48453,,7,,129.084428573109,35.1349513669137
MA010120220802939530,듀오짐,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26380,사하구,26380562,하단2동,2638010300,하단동,2638010300105040019,1,대지,504,19,부산광역시 사하구 하단동 504-19,263804202154,부산광역시 사하구 낙동대로519번길,13,,2638010300105040019024670,,부산광역시 사하구 낙동대로519번길 13,604851,49309,,,,128.964609184204,35.1100985214679
MA010120220810013723,마이코치짐,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26230,부산진구,26230520,부전2동,2623010300,부전동,2623010300102410017,1,대지,241,17,부산광역시 부산진구 부전동 241-17,262302000010,부산광역시 부산진구 중앙대로,681,1,2623010300102410017014115,,부산광역시 부산진구 중앙대로 681-1,614846,47289,,3,,129.058845031875,35.1536104185392
MA010120220807757951,어나더짐,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26500,수영구,26500800,민락동,2650010300,민락동,2650010300101350000,1,대지,135,,부산광역시 수영구 민락동 135,265003138005,부산광역시 수영구 광안해변로,311,,2650010300101350000000001,서희스타힐스센텀프리모,부산광역시 수영구 광안해변로 311,613829,48290,,2,,129.127431684965,35.157336308619
MA010120220810699922,더짐피트니스,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26320,북구,26320520,구포2동,2632010500,구포동,2632010500110870001,1,대지,1087,1,부산광역시 북구 구포동 1087-1,263202006008,부산광역시 북구 백양대로,1017,,2632010500110870001002072,한성빌딩,부산광역시 북구 백양대로 1017,616807,46650,,6,,128.99454580043,35.1967260834873
MA010120220811687324,스마트짐다대포점,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26380,사하구,26380601,다대1동,2638010600,다대동,2638010600115480000,1,대지,1548,,부산광역시 사하구 다대동 1548,263804202164,부산광역시 사하구 다대낙조2길,85,,2638010600115480000000001,다대동다대포케이프포인트,부산광역시 사하구 다대낙조2길 85,604827,49501,,B1,,128.961540580163,35.0529586753789
MA010120220800298493,FM퍼스널트레이닝,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26260,동래구,26260580,사직1동,2626010900,사직동,2626010900100470027,1,대지,47,27,부산광역시 동래구 사직동 47-27,262603130010,부산광역시 동래구 사직북로,24,,2626010900100470027008197,,부산광역시 동래구 사직북로 24,607817,47859,,5,,129.060534943379,35.1979637937875
MA010120220811556966,썬짐,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26230,부산진구,26230720,가야2동,2623011000,가야동,2623011000104780000,1,대지,478,,부산광역시 부산진구 가야동 478,262303006020,부산광역시 부산진구 엄광로,143,,2623011000104780000010825,대도운수,부산광역시 부산진구 엄광로 143,614806,47384,,1,,129.030673841055,35.1476787303551
MA010120220805029010,핏머슬짐,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26350,해운대구,26350530,중1동,2635010600,중동,2635010600113780011,1,대지,1378,11,부산광역시 해운대구 중동 1378-11,263503133040,부산광역시 해운대구 중동1로,25,1,2635010600113780011018156,,부산광역시 해운대구 중동1로 25-1,612847,48095,,5,,129.162554334214,35.1630942888301
MA010120220803313627,곤코치1:1PT전문센터,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26470,연제구,26470610,거제1동,2647010100,거제동,2647010100102030015,1,대지,203,15,부산광역시 연제구 거제동 203-15,264703130025,부산광역시 연제구 미남로,11,,2647010100102030015007248,,부산광역시 연제구 미남로 11,611803,47502,,,,129.071758884494,35.195095779549
MA010120220804773125,휴밸런스운동센터,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26230,부산진구,26230550,초읍동,2623010700,초읍동,2623010700101780017,1,대지,178,17,부산광역시 부산진구 초읍동 178-17,262303129029,부산광역시 부산진구 성지로,118,,2623010700101780017026616,유성빌딩,부산광역시 부산진구 성지로 118,614872,47115,,3,,129.051313793908,35.1805297756302
MA010120220813316076,벨로시티화명,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26320,북구,26320543,화명3동,2632010200,화명동,2632010200122720004,1,대지,2272,4,부산광역시 북구 화명동 2272-4,263202132002,부산광역시 북구 화명대로,27,,2632010200122720004008584,,부산광역시 북구 화명대로 27,616852,46525,,6,,129.011260612572,35.2352265965475
MA010120220813944839,아놀드홍짐,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26200,영도구,26200590,봉래1동,2620011600,봉래동2가,2620011600101490000,1,대지,149,,부산광역시 영도구 봉래동2가 149,262003128013,부산광역시 영도구 봉래나루로,190,,2620011600101240001003049,,부산광역시 영도구 봉래나루로 190,606062,49003,,1,,129.044090473243,35.0966991657429
MA010120220804927678,더플래닛짐,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26350,해운대구,26350551,좌1동,2635010700,좌동,2635010700114660003,1,대지,1466,3,부산광역시 해운대구 좌동 1466-3,263503133010,부산광역시 해운대구 세실로,77,,2635010700114660003030763,성부빌딩,부산광역시 해운대구 세실로 77,612836,48106,,8,,129.176549725514,35.1714854516479
MA010120220813250596,위드짐,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26260,동래구,26260545,명륜동,2626010700,명륜동,2626010700105280004,1,대지,528,4,부산광역시 동래구 명륜동 528-4,262602006006,부산광역시 동래구 충렬대로,180,,2626010700105280004000080,,부산광역시 동래구 충렬대로 180,607804,47815,,5,,129.079538996153,35.2035773948232
MA010120220808525602,템플짐,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26290,남구,26290530,대연3동,2629010600,대연동,2629010600100730011,1,대지,73,11,부산광역시 남구 대연동 73-11,262903131037,부산광역시 남구 수영로,297,,2629010600100730011000486,대영빌딩,부산광역시 남구 수영로 297,608805,48434,,3,,129.098655270896,35.1370397297787
