상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220800835315,남원편의점,,G2,소매,G204,종합 소매,G20405,편의점,G47216,빵류; 과자류 및 당류 소매업,26,부산광역시,26500,수영구,26500730,수영동,2650010200,수영동,2650010200104620001,1,대지,462.0,1.0,부산광역시 수영구 수영동 462-1,265004214334,부산광역시 수영구 연수로357번길,8,,2650010200104620001011929,,부산광역시 수영구 연수로357번길 8,613831,48231,,,,129.110172695965,35.1713988543072
MA010120220808648594,이마트24R청사포점,해운대,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26350,해운대구,26350540,중2동,2635010600,중동,2635010600105300000,1,대지,530.0,,부산광역시 해운대구 중동 530,263503133042,부산광역시 해운대구 청사포로,129,,2635010600105300000002779,,부산광역시 해운대구 청사포로 129,612845,48116,,,,129.192685898546,35.1609934606518
MA010120220805476575,행복컴퍼니,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26230,부산진구,26230740,개금1동,2623011100,개금동,2623011100105220003,1,대지,522.0,3.0,부산광역시 부산진구 개금동 522-3,262304187374,부산광역시 부산진구 복지로8번길,5,,2623011100105220003017236,,부산광역시 부산진구 복지로8번길 5,614111,47320,,,,129.02007718851,35.152199568224
MA010120220810525792,이마트24괴정,제일점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26380,사하구,26380520,괴정2동,2638010100,괴정동,2638010100103860016,1,대지,386.0,16.0,부산광역시 사하구 괴정동 386-16,263803134014,부산광역시 사하구 사리로,10,,2638010100103860016016556,,부산광역시 사하구 사리로 10,604082,49348,,,,128.99967117868,35.1007204856699
MA010120220810529145,씨유동아대부민점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26140,서구,26140590,부민동,2614010900,부민동1가,2614010900100060001,1,대지,6.0,1.0,부산광역시 서구 부민동1가 6-1,261403006005,부산광역시 서구 구덕로,224,,2614010900100420001000001,,부산광역시 서구 구덕로 224,602816,49223,,,,129.020283463297,35.1046051543147
MA010120220810502722,세븐부평제일점주,코리아,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26110,중구,26110560,부평동,2611012400,부평동2가,2611012400100300005,1,대지,30.0,5.0,부산광역시 중구 부평동2가 30-5,261104175176,부산광역시 중구 부평2길,3,,2611012400100300005005518,,부산광역시 중구 부평2길 3,600807,48979,,,,129.026267442965,35.0995938407602
MA010120220805127025,마켓무사상근린공원점,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26530,사상구,26530645,감전동,2653010500,감전동,2653010500102550004,1,대지,255.0,4.0,부산광역시 사상구 감전동 255-4,265304217169,부산광역시 사상구 백양대로572번길,17,17.0,2653010500102550004000001,서우블루빌,부산광역시 사상구 백양대로572번길 17-17,617801,46992,,1,,128.991651648449,35.1577619792889
MA010120220810999292,세븐일레븐부산롯데,캐슬점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26230,부산진구,26230610,전포2동,2623010200,전포동,2623010200105870000,1,대지,587.0,,부산광역시 부산진구 전포동 587,262304187672,부산광역시 부산진구 전포대로275번길,20,,2623010200105870000013873,서면롯데캐슬스카이,부산광역시 부산진구 전포대로275번길 20,614793,47241,,1,,129.063623118948,35.1620630975236
MA010120220800994674,애니타임,,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26320,북구,26320530,금곡동,2632010100,금곡동,2632010100108350001,1,대지,835.0,1.0,부산광역시 북구 금곡동 835-1,263202132001,부산광역시 북구 금곡대로,586,,2632010100108350001000001,,부산광역시 북구 금곡대로 586,616812,46507,,,,129.01379624088,35.2595878107777
MA010120220813218218,세븐부산명지대주점,코리아,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,26,부산광역시,26440,강서구,26440545,명지2동,2644010400,명지동,2644010400132380009,1,대지,3238.0,9.0,부산광역시 강서구 명지동 3238-9,264403136044,부산광역시 강서구 명지오션시티3로,23,,2644010400132380009000001,대주빌딩,부산광역시 강서구 명지오션시티3로 23,618814,46765,,1,,128.903007785828,35.0822521833656
